ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
7103.KL,2014-08-26,85.0,0.833,-0.0043475625728711,-0.0059857708401122,-0.0086946115165927,-0.0135447203119537,-0.065217444900433,-0.0551681589988654,-0.1043477680245309,-0.0892819036729748,8,2014
7233.KL,2021-07-22,85.0,1.0,0.0133927518138776,0.0230089793136513,0.017857182523018,0.0387000399889351,-0.0535714875342161,-0.0472937706602779,-0.0356933528526604,-0.0872113687358171,7,2021
8869.KL,2018-10-26,60.0,1.0,0.0319147024030501,0.0136087980081824,0.0148936609296699,0.0071221283643874,0.0127660584833264,0.011631273007536,-0.0748686724741544,-0.0855456359083289,10,2018
5681.KL,2011-08-29,85.0,1.0,-0.0011340004153147,-0.0167219254182414,-0.0170067601338245,-0.0057165616222815,-0.0884355236782755,-0.0333317773671139,-0.0578233554373914,-0.084072769659818,8,2011
5681.KL,2009-02-04,85.0,0.833,0.0135130812516424,-0.024169445576017,0.0,-0.0147240355376645,0.0135130812516424,0.0347037944684757,0.0675675211262094,-0.0836186095810529,2,2009
5031.KL,2025-06-24,85.0,0.889,-0.0019048871956558,-0.0256255225748848,-0.0114286318165247,-0.0213012128850303,-0.0323811070192628,-0.0426169268425221,-0.0228571648677052,-0.0818022859892085,6,2025
4863.KL,2016-10-12,60.0,0.889,0.0014921604545308,0.0007483284823508,-0.0149255040891591,-0.019058611788091,-0.0313434610986379,-0.0196999790745773,-0.0731344825938985,-0.0782093527454989,10,2016
4863.KL,2013-01-10,85.0,1.0,-0.0341298212581586,-0.0320640237076229,-0.0494879122180518,-0.0213264568206339,-0.0972696490929532,-0.0654039899917229,-0.06484645420617,-0.078185225221845,1,2013
8869.KL,2022-07-28,60.0,0.889,0.0248446103787751,0.0137729832957333,0.0124224094777241,0.002792508799019,0.0124224094777241,0.0095455055057727,-0.1023907058234606,-0.0781015615845132,7,2022
5681.KL,2007-09-05,85.0,1.0,-0.0058136876320452,0.0034241848329664,-0.0116274366430008,-0.0110341692869916,0.0116282345688356,-0.0415563781375252,0.0,-0.0763137631913344,9,2007
5681.KL,2009-05-04,85.0,0.833,-0.0126583187491371,-0.0286486640002576,0.0126586282828371,0.0100331780445463,0.0126586282828371,-0.0392951486031145,0.0696200721461146,-0.0760861877549554,5,2009
5142.KL,2007-09-03,85.0,0.611,0.0655737641619513,0.060465336382576,0.032786785550736,0.0373034650108904,0.0436870767631634,-0.0053029348103881,-0.0112436492755212,-0.0754422105428607,9,2007
0099.KL,2015-05-28,85.0,0.889,-0.0233878798578198,-0.0153676027638658,0.0235645245298583,0.0354126232185391,-0.0046070642626426,0.0174656639304559,-0.1783310440169917,-0.075292692373622,5,2015
5031.KL,2024-03-15,60.0,1.0,-0.0133334455509445,-0.0066102745008606,-0.0152381918464898,-0.0095647203314109,-0.0095238422187902,-0.0015320385695966,-0.0400001151707062,-0.0743245746006014,3,2024
5681.KL,2005-04-28,85.0,0.833,0.0196075672061484,-0.0117135930408782,0.0196075672061484,-0.0004302084473717,0.0147058941479236,0.0191574061030197,0.004902037630412,-0.0706144161238875,4,2005
5031.KL,2024-04-17,60.0,1.0,0.0211537853056431,0.0009904950099086,-0.0076923567148882,-0.0335814023940602,0.013461428590755,-0.0324286139882803,-0.0096153061362536,-0.0700663470605778,4,2024
8869.KL,2018-03-15,60.0,1.0,-0.0020039527866156,-0.0191288045706189,-0.0901799791747114,-0.0961844966368777,-0.0541081978825274,-0.0694717898153433,-0.1151852622847166,-0.069939856815232,3,2018
4863.KL,2012-08-24,85.0,1.0,0.029999794031704,0.0265536194846778,0.0100001445615991,0.0264906204226761,0.0079943843575651,0.0259774298098012,-0.0902636227878717,-0.0696959649408424,8,2012
