ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
5681.KL,2007-05-15,100.0,1.0,0.0135136357752918,-0.002391597541697,-0.0067561977049153,-0.0044532665392059,0.0472973968814878,0.0365404094872587,0.1472589601447229,0.1888383165953923,in_sample,0.1472589601447229,0.1888383165953923,0.0135136357752918,-0.002391597541697,True
5681.KL,2007-06-12,100.0,1.0,0.0193552558162153,0.0074411577614288,0.0258061949665313,0.0210949435981995,0.0258061949665313,0.0178169584142691,0.1350409878751242,0.1810874565629459,in_sample,0.1350409878751242,0.1810874565629459,0.1350409878751242,0.1810874565629459,False
5681.KL,2007-07-10,85.0,1.0,0.0062897395855476,0.0018929117671337,0.1383650344485014,0.1232495703213933,0.067889009037986,0.1271838788358785,0.1193532622064563,0.1226271623808946,in_sample,0.1193532622064563,0.1226271623808946,0.1193532622064563,0.1226271623808946,False
5681.KL,2007-08-07,85.0,1.0,0.0240962874642678,0.0254837748149419,-0.0301204865251124,0.0153400672114002,0.0361439860146797,0.0300980458391906,0.0722892439771365,-0.0199727984886435,in_sample,0.0722892439771365,-0.0199727984886435,0.0722892439771365,-0.0199727984886435,False
5681.KL,2007-09-05,85.0,1.0,-0.0058136876320452,0.0034241848329664,-0.0116274366430008,-0.0110341692869916,0.0116282345688356,-0.0415563781375252,0.0,-0.0763137631913344,in_sample,0.0,-0.0763137631913344,0.0,-0.0763137631913344,False
5681.KL,2007-10-03,85.0,1.0,0.034482808833147,0.0271891842513416,0.034482808833147,0.0276355085324542,0.0229888425890281,-0.0078826345925313,0.0085759404177641,-0.0416962655993802,in_sample,0.0085759404177641,-0.0416962655993802,0.0085759404177641,-0.0416962655993802,False
5681.KL,2007-11-01,85.0,1.0,0.0112356711682499,0.0161393258363373,-0.0393262132170257,-0.0233450478525399,-0.0337084962527399,-0.02506501118681,-0.0710778972925377,-0.0597874591635929,in_sample,-0.0710778972925377,-0.0597874591635929,-0.0710778972925377,-0.0597874591635929,False
5681.KL,2007-11-30,60.0,1.0,0.0116282345688356,-0.0149004624145776,-0.009184617389345,-0.0137874419114114,0.0203038980334258,-0.0073987704251456,-0.0386730100542951,0.0207122081287622,in_sample,-0.0386730100542951,0.0207122081287622,0.0116282345688356,-0.0149004624145776,True
5681.KL,2008-01-02,85.0,1.0,-0.0057804118465235,-0.0447723727113787,0.0,-0.0174341819139056,-0.0578032762605292,-0.0282493003581236,-0.0693636788512231,0.0671779055987228,in_sample,-0.0693636788512231,0.0671779055987228,-0.0057804118465235,-0.0447723727113787,True
5681.KL,2008-01-31,60.0,1.0,0.0368096479089647,0.0193899317551875,0.0429444934549623,0.0198043605036792,0.0,0.0568670234837609,0.0122694356995591,0.0936546965274346,in_sample,0.0122694356995591,0.0936546965274346,0.0122694356995591,0.0936546965274346,False
5681.KL,2008-03-04,60.0,1.0,-0.0429448765436157,0.0388499050207407,-0.0429448765436157,0.0590322607969566,-0.0122696272438859,0.0443276802641972,-0.0122696272438859,0.0165884140200818,in_sample,-0.0122696272438859,0.0165884140200818,-0.0122696272438859,0.0165884140200818,False
5681.KL,2008-04-02,60.0,1.0,-0.0062116346203445,0.0033959432807787,0.0062107296430859,-0.0050747057288751,0.0248438881908354,-0.0075926544991109,-0.0745345734279802,-0.0349185653737916,in_sample,-0.0745345734279802,-0.0349185653737916,-0.0745345734279802,-0.0349185653737916,False
5681.KL,2008-04-30,60.0,1.0,0.0060608652383256,0.0056780184894755,0.0,-0.0111653143516121,-0.0242416318008126,-0.0213038028127517,-0.0909090679730095,0.0170011619992364,in_sample,-0.0909090679730095,0.0170011619992364,-0.0909090679730095,0.0170011619992364,False
5681.KL,2008-05-30,60.0,1.0,-0.0248450517330249,-0.0032714839690775,-0.062112597011946,-0.0254775363627722,-0.0745345734279802,-0.00748658490016,-0.1366716048259075,0.0126113695840947,in_sample,-0.1366716048259075,0.0126113695840947,-0.0248450517330249,-0.0032714839690775,True
5681.KL,2008-07-23,60.0,1.0,0.0132453932423193,-0.0047726218801671,-0.0102861510553362,-0.005178184489494,-0.1071812074061004,-0.0490809000046057,-0.0864179908912463,0.1191094721695246,in_sample,-0.0864179908912463,0.1191094721695246,0.0132453932423193,-0.0047726218801671,True
5681.KL,2008-10-03,60.0,0.833,-0.0510950931893368,0.0302366678498949,-0.036496588591655,0.0731424695375019,-0.0218978659290062,0.0935246138704704,0.0849815895017127,0.205312095439148,in_sample,0.0849815895017127,0.205312095439148,0.0849815895017127,0.205312095439148,False
5681.KL,2008-11-03,60.0,0.778,0.0,-0.0054372766789163,-0.0074627059779753,0.0095384375617041,0.037313009680137,0.0939316612534373,0.124468131988507,0.149541783409109,in_sample,0.124468131988507,0.149541783409109,0.0,-0.0054372766789163,True
5681.KL,2008-12-01,60.0,0.778,-0.0287767784368169,-0.013147899354165,0.0034510182868148,-0.0040569613605074,0.0693708407510167,0.015235563742566,0.0986685316637197,0.0871295972650569,in_sample,0.0986685316637197,0.0871295972650569,-0.0287767784368169,-0.013147899354165,True
5681.KL,2009-01-02,85.0,0.833,0.0136989329910157,-0.0139297874094648,0.0136989329910157,0.0113397203852179,0.0136989329910157,0.0333330823785145,0.0479458300011703,0.0338016099765121,in_sample,0.0479458300011703,0.0338016099765121,0.0136989329910157,-0.0139297874094648,True
5681.KL,2009-02-04,85.0,0.833,0.0135130812516424,-0.024169445576017,0.0,-0.0147240355376645,0.0135130812516424,0.0347037944684757,0.0675675211262094,-0.0836186095810529,in_sample,0.0675675211262094,-0.0836186095810529,0.0135130812516424,-0.024169445576017,True
5681.KL,2009-03-06,85.0,0.833,-0.0133329125214193,0.0038770790894645,-0.0133329125214193,-0.0117016717828015,0.0200007381597415,-0.0368495341807251,0.0666674969876952,-0.170544505849072,in_sample,0.0666674969876952,-0.170544505849072,0.0666674969876952,-0.170544505849072,False
5681.KL,2009-04-03,85.0,0.833,0.0,-0.0378937329766282,0.0130714094746797,-0.0510513372627681,0.0326793867391921,-0.0801638834385924,0.0849668146727107,-0.1011722072089924,in_sample,0.0849668146727107,-0.1011722072089924,0.0,-0.0378937329766282,True
5681.KL,2009-05-04,85.0,0.833,-0.0126583187491371,-0.0286486640002576,0.0126586282828371,0.0100331780445463,0.0126586282828371,-0.0392951486031145,0.0696200721461146,-0.0760861877549554,in_sample,0.0696200721461146,-0.0760861877549554,-0.0126583187491371,-0.0286486640002576,True
5681.KL,2009-06-01,85.0,0.833,0.0187494547711126,0.008342667947164,0.0187494547711126,-0.0089111157379979,0.0374994597381592,0.024276709364694,0.1272576908068801,0.0211266527356139,in_sample,0.1272576908068801,0.0211266527356139,0.1272576908068801,0.0211266527356139,False
5681.KL,2009-06-29,85.0,0.833,-0.0120482218777697,-0.0027438549796758,-0.0060244350169799,0.0052968878819495,0.0180722444317196,-0.0568367480309057,0.0777411497513025,-0.0544533190282587,in_sample,0.0777411497513025,-0.0544533190282587,-0.0120482218777697,-0.0027438549796758,True
5681.KL,2009-07-27,85.0,0.833,0.0248522884054487,0.0119850986994538,0.054917355242753,0.0276178690457662,0.0672268187744293,0.0516098461218388,0.1078475506840346,0.0182701780726117,in_sample,0.1078475506840346,0.0182701780726117,0.1078475506840346,0.0182701780726117,False
