ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d
5031.KL,2025-02-24,85.0,0.889,0.036072172138482905,0.04418956860467349,0.05410825820772436,0.08427397641034384,0.04828750147236449,0.09288275122086531,0.1260985015448759,0.15762758544695887
5031.KL,2025-03-25,85.0,0.889,0.03505160965658183,0.03154337849947275,0.008247431277375261,0.04159175706833418,0.06597934330805355,0.07065690420187343,0.08247431277375217,0.08201840402131233
5031.KL,2025-04-24,85.0,0.889,0.03481633526639305,0.010940136983732973,0.02514511988199053,-0.0013928483829048766,0.0077369522487940046,-0.010702915085673004,-0.017408167633196525,-0.03285437427470561
5031.KL,2025-05-26,85.0,0.889,0.0038388254619265982,0.024076098381158095,0.017274515531408907,0.02858266719933189,0.007677650923852974,0.020719434883195387,-0.0019194127309632991,-0.03705589868138126
5031.KL,2025-06-24,85.0,0.889,-0.0019048871956558466,-0.025625522574884818,-0.011428631816524759,-0.021301212885030396,-0.03238110701926289,-0.04261692684252216,-0.022857164867705282,-0.08180228598920858
5031.KL,2025-07-23,60.0,0.889,0.023622073766350393,0.027080090178682292,0.001968633735321079,-0.0056728994867241145,0.023622073766350393,-0.014566122249621394,-0.04921257712702165,-0.09686611158749259
5031.KL,2025-08-20,85.0,0.889,0.001923103961189332,0.0021119497468155,-0.00961532037589774,-0.003281185235793682,-0.013461428583251944,-0.023120156502053124,-0.07499995762111467,-0.09746553496195687
5031.KL,2025-09-23,60.0,0.889,-0.005848034786194667,-0.011042731428669406,-0.03118921563276389,-0.0477025639302503,-0.05847964033241759,-0.05794326329666277,0.12576600179106046,0.10213724595284068
5031.KL,2025-11-05,60.0,0.833,-0.033663326485813716,-0.03986722782743901,-0.04752470225508154,-0.04896774486853861,0.07722778234518657,0.07643229842341692,0.23014268078802025,0.15655262654274682
5031.KL,2025-12-03,85.0,0.833,0.042485695715467786,0.04978152652422385,0.06161396193867441,0.050152588064673376,0.071178047392364,0.04226574246179404,0.1725573913278038,0.12610795301568434
5031.KL,2026-01-02,85.0,0.833,0.0,-0.010049365896138696,-0.001785695694780931,-0.027525909987482167,0.06607136358261023,0.023478419266516504,0.10099484819495519,0.08390254816645837
5031.KL,2026-01-30,85.0,0.833,0.008375289632008842,0.0023897857971171277,0.0016751080068644342,0.0014568247927735367,0.026800726500577632,0.05130559418820391,0.05726517271082199,0.06809876566304396
5031.KL,2026-03-04,85.0,0.833,0.02446989110222142,0.01825158088568468,0.0450120681408559,0.026410185913817052,0.005802803684530344,0.0057556495311335,0.027964579526983613,0.036885699685398565
5031.KL,2026-04-02,85.0,0.833,-0.0033898272208872093,0.0037114259422813545,0.0,0.005058050782341117,0.023728790546210465,0.009761900113926414,0.045762707891905396,0.06592403937040447
5681.KL,2004-12-01,85.0,0.611,-0.013605248337673737,-0.00013516525399892565,0.006802462269053011,0.017582879714769573,0.006802462269053011,0.014499624002808575,0.08299322910818874,0.10783411474858406
5681.KL,2004-12-29,85.0,0.611,0.0067569034378212045,0.0063382021931299715,0.054054343070077504,0.02568218908351505,0.08108171561250077,0.06745206876675836,0.08648664338089929,0.119354287586524
5681.KL,2005-01-27,100.0,0.667,-0.03125006507610262,-0.01773846932541534,-0.012500040904978804,-0.011934771570395686,-0.005000298978208528,0.025490474890770165,0.019999485340994383,0.07011094358261794
5681.KL,2005-03-02,85.0,0.778,0.08040220762125205,0.06726175422702263,0.02512541892578457,0.01883549270311402,0.010050107773159178,0.025915141999790614,0.040200804824853,0.06479997719937991
